food,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
쌀밥,210,334.8,73.71,0,0.45,5.76,3.6,126,59.4,146.7,0,0.36,1.35,0,0
기타잡곡밥,200,302.36,65.52,0,0.75,6.71,12.06,117.84,3.39,166.72,6.9,1.74,1.83,0,0
콩밥,200,322.9,65.85,0,1.67,8.43,24.7,126.9,4.1,258.4,22.5,1.74,1.61,0,0
보리밥,200,316.1,70.57,0,0.14,5.55,6.7,68.8,4.5,100.6,0,1.26,1.41,0,0
돌솥밥,350,528.86,101.85,0,8.35,10.19,61.46,193.72,618.32,624.32,57.79,3.32,2.58,2.37,0
현미밥,230,351.35,77.88,0,1.1,6.66,6.01,178.28,42.08,209.33,0,1.05,1.65,0,0
흑미밥,200,318,70.29,0,0.39,5.44,6.3,98.6,4.5,112.9,0,1.29,1.35,0,0
감자밥,200,308,68.64,0,0.08,5.68,6.4,86.8,5.2,267.6,9.2,1.36,1.4,0,0
곤드레밥,350,506.8,108.05,0,8.37,14.14,30.32,95.48,88.75,815.92,22.4,1.88,1.78,0,0
김치볶음밥,500,656.98,79.29,4,5.06,8.74,35.89,182.12,1094.91,305.71,1.92,1.06,1.85,76,0
주먹밥,150,209.56,36.18,0,3.46,6.7,85.43,151.23,329.69,179.33,0,0.7,0.8,50.13,0
볶음밥,400,687.74,100.33,0,19.29,24.46,58.42,414.66,1441.42,578.88,14.98,3.29,3.45,309,0
일반비빔밥,500,703,95.68,3.44,25.28,22.6,96.8,289.33,1234.09,742.51,55.8,4.75,4.16,40.2,0
전주비빔밥,450,662.19,92.99,3.44,13.03,15.84,65.04,236.12,1281.3,450.11,10.84,3.24,2.86,286.94,0
삼선볶음밥,400,683.62,113.43,5.09,16.84,19.26,119.37,249.11,1155.81,640.97,29.67,4.52,3.57,119.13,0
새우볶음밥,400,634.52,91.62,0,17.91,24.12,81.82,341.3,1124.63,710.66,17.68,4.15,2.82,127.2,0
알밥,400,606.54,92.1,0,3.45,15.16,68.6,235.4,1647.87,510.41,7.4,3.56,3.3,39,0
산채비빔밥 ,400,495.89,89.66,0.52,10.99,10.66,63.1,160.29,1060.78,509.95,38.81,3.53,2.05,0,0
오므라이스,450,684.99,101.62,0,19.75,23.15,81.56,341.26,1123.24,788.38,33.71,4.13,3.67,605.63,0
육회비빔밥,450,661.41,91.74,2.58,17.54,32,86.38,404.74,1126.6,793.74,33.58,5.97,6.53,241.65,0
해물볶음밥,400,659.23,85.19,0,23.71,22.68,77.5,305.55,951.03,555.36,24.2,4.13,3.08,362.4,0
열무비빔밥,400,445.66,90.03,1.72,3.16,12.99,91.06,167.96,718.39,708.68,1.29,3.91,2.65,12.8,0
불고기덮밥,500,699.96,92.09,5.99,21.4,29.31,45.77,328.37,1182.88,764.5,30.22,4.25,8.77,72,0
